NOM;DOSAGE1;FORME
CACIT;500;COMPRIME EFFERVESCENT
STREPTOCID;500;GELULE
GEMCITABINE HOSPIRA 2 G;2;POUDRE POUR SOLUTION POUR PERFUSION
TAXOTERE 20 MG/0.5 ML;20;SOLUTION A DILUER POUR PERFUSION
APETINE;4;COMPRIME
ASPEGIC AD;1;POUDRE POUR SOLUTION BUVABLE
ACUPAXIL-30;30;SOLUTION A DILUER POUR PERFUSION
ACUPAXIL-30;30;SOLUTION A DILUER POUR PERFUSION
OMACOR;1000 / 4;CAPSULE MOLLE
XYZALL;5;COMPRIME PELLICULE
LEDERTREXATE;5;SOLUTION INJECTABLE
MINIDIAB;5;COMPRIME SECABLE
STRATTERA 18 MG;18;GELULE
CICLOVIRAL;80;SUSPENSION BUVABLE
ALDOMET;500;COMPRIME ENROBE
MYCOSPOR;1;CREME
SOMATULINE LP 30 MG;30;SOLUTION INJECTABLE
SOMATULINE LP 30 MG;30;SOLUTION INJECTABLE
FLUDEX LP;1.5;COMPRIME ENROBE LP
CRIXIVAN;400;GELULE
ALVITYL;;SIROP
GONAL-F450;450;POUDRE POUR SOLUTION INJECTABLE
GONAL-F450;450;POUDRE POUR SOLUTION INJECTABLE
PROFENID I.M;100;SOLUTION INJECTABLE
ANAFRANIL;75;COMPRIME ENROBE
PHARMAURACIL;500;SOLUTION INJECTABLE
INNOHEP 14 000 UI ANTI-XA/0,7 ML;14000;SOLUTION INJECTABLE
FLUOROURACILE MYLAN;250;SOLUTION POUR PERFUSION
STRATTERA 25 MG;25;GELULE
NOVONORM;0.5;COMPRIME
AMODEX;250;POUDRE POUR SUSPENSION BUVABLE
BAUME SLOAN;1;CREME
BAUME SLOAN;1;CREME
PACLITAXEL COOPER;100;SOLUTION A DILUER POUR PERFUSION
ORGALUTRAN;0.25;SOLUTION INJECTABLE
EPREX;10000;SOLUTION INJECTABLE
PENAMOX;250;POUDRE POUR SUSPENSION BUVABLE
COQUELUSEDAL ENFANTS;20/20/10;SUPPOSITOIRE
RODAL;250;POUDRE POUR SUSPENSION BUVABLE
RODAL;250;POUDRE POUR SUSPENSION BUVABLE
SAGADREPS 20 MG ARÔME MENTHE;20;PASTILLE A SUCER
ISONE;20;COMPRIME
EOSINE PHARMA;2;SOLUTION POUR APPLICATION LOCALE
HERPEVIR 5%;50;CREME
HERPEVIR 5%;50;CREME
VALSARTAN WIN 160 MG;160;COMPRIME PELLICULE SECABLE
A-GRAM;500;GELULE
PZA;500;COMPRIME
COMBIVIR;150 / 300;COMPRIME PELLICULE SECABLE
PIPERACILLINE MYLAN;2;POUDRE POUR SOLUTION INJECTABLE
URISPAS;200;COMPRIME ENROBE
STAPHYMYCINE;500;GELULE
TRIACEPHINE PHARMA5;250;PREPARATION PARENTERALE
TRIACEPHINE PHARMA5;250;PREPARATION PARENTERALE
MACROMAX;200;POUDRE POUR SUSPENSION BUVABLE
